map_size,map_area,num_agents,agent_density,density,FRA,FRA_sq,FDA,FDA_sq,FRAxFDA,FRA_per_area,FDA_per_area,FRAxAgentDens,FDAxAgentDens,BN,MC,pred_raw,complexity_calibrated,curriculum_stage,success_rate
32,1024,4,0.00390625,0.5,0.4924892703862661,0.24254568144559674,0.455078125,0.20709609985351562,0.22412109375,0.000480946553111588,0.0004444122314453125,0.001923786212446352,0.00177764892578125,0.094827586,1.0,0.8451627,0.4876033,1,0.9
32,1024,4,0.00390625,0.3,0.6494252873563219,0.42175320385784126,0.5947265625,0.3536996841430664,0.38623046875,0.0006342043821839081,0.0005807876586914062,0.0025368175287356323,0.002323150634765625,0.094827586,1.0,0.85987824,0.42975208,1,0.86
32,1024,4,0.00390625,0.1,0.8801955990220048,0.7747442925377059,0.798828125,0.6381263732910156,0.703125,0.0008595660146699266,0.0007801055908203125,0.0034382640586797064,0.00312042236328125,0.094827586,1.0,0.7885304,0.6694215,2,0.76
32,1024,8,0.0078125,0.1,0.8782129742962056,0.7712580282221879,0.7978515625,0.6365671157836914,0.70068359375,0.0008576298577111383,0.0007791519165039062,0.006861038861689106,0.00623321533203125,0.094827586,1.0,0.7167047,0.9338843,3,0.72
32,1024,8,0.0078125,0.3,0.6492659053833605,0.4215462158932748,0.5986328125,0.35836124420166016,0.388671875,0.000634048735725938,0.0005846023559570312,0.005072389885807504,0.00467681884765625,0.094827586,1.0,0.7948423,0.60330576,2,0.78
32,1024,8,0.0078125,0.5,0.5010799136069114,0.2510810798203098,0.4521484375,0.2044382095336914,0.22656249999999997,0.0004893358531317494,0.00044155120849609375,0.003914686825053995,0.00353240966796875,0.094827586,1.0,0.94680154,0.21487604,0,0.965
32,1024,8,0.0078125,0.7,0.2988505747126437,0.08931166600607744,0.2548828125,0.06496524810791016,0.076171875,0.0002918462643678161,0.00024890899658203125,0.002334770114942529,0.00199127197265625,0.094827586,1.0,0.9881844,0.099173546,0,0.995
32,1024,16,0.015625,0.7,0.3118466898954704,0.09724835799876166,0.2802734375,0.0785531997680664,0.08740234375,0.0003045377831010453,0.00027370452880859375,0.004872604529616725,0.0043792724609375,0.094827586,1.0,0.93468326,0.28099176,1,0.915
32,1024,16,0.015625,0.5,0.4859002169197396,0.23609902080265002,0.4501953125,0.20267581939697266,0.21874999999999997,0.0004745119305856832,0.00043964385986328125,0.0075921908893709315,0.0070343017578125,0.094827586,1.0,0.9127867,0.3471074,1,0.895
32,1024,16,0.015625,0.3,0.7106446776611695,0.5050158578881474,0.6513671875,0.42427921295166016,0.462890625,0.0006939889430284858,0.0006361007690429688,0.011103823088455773,0.0101776123046875,0.094827586,1.0,0.7393438,0.8512397,3,0.785
32,1024,16,0.015625,0.1,0.8869987849331713,0.7867668444729223,0.8037109375,0.6459512710571289,0.712890625,0.0008662097509113001,0.0007848739624023438,0.013859356014580802,0.0125579833984375,0.094827586,1.0,0.75525403,0.785124,3,0.78
32,1024,2,0.001953125,0.1,0.8663793103448276,0.7506131093935792,0.79296875,0.6287994384765625,0.68701171875,0.0008460735452586207,0.000774383544921875,0.0016921470905172415,0.00154876708984375,0.094827586,1.0,0.7615846,0.75619835,3,0.715
32,1024,2,0.001953125,0.3,0.6871069182389937,0.4721159170918872,0.62109375,0.3857574462890625,0.4267578125,0.0006710028498427673,0.000606536865234375,0.0013420056996855346,0.00121307373046875,0.094827586,1.0,0.8284371,0.553719,2,0.73
32,1024,2,0.001953125,0.5,0.4734513274336283,0.22415615944866468,0.44140625,0.1948394775390625,0.20898437499999997,0.0004623548119469026,0.000431060791015625,0.0009247096238938052,0.00086212158203125,0.094827586,1.0,0.9894696,0.07438017,0,0.995
32,1024,2,0.001953125,0.7,0.2984496124031007,0.08907217114356103,0.251953125,0.06348037719726562,0.07519531249999999,0.000291454699612403,0.0002460479736328125,0.000582909399224806,0.000492095947265625,0.094827586,1.0,0.92498285,0.30578515,1,0.925
